Posts,User Names,User Links,Likes,Reblogs,Comments,Comment Links,Post Date,Post Time,Date in Datetime Format
":我的jellycat大西瓜玩偶到的那天
我把脸蹭在毛茸茸上跟我同居生物说我想把它改成一个背包
同居生物：你穿着机车夹克这么讲很没说服力
我想了想我把自己衣柜里最朋最滚的衣服拿出来穿上然后背后背着那个西瓜的样子
我：那不是更妙了吗！！！！",西柚吉,https://weibo.cn/u/3548411332,2,0,0,https://weibo.cn/comment/IefCBaCz2?uid=3548411332&rl=1#cmtfrm,2019-11-01,23:50:44,2019-11-01
":#情侣头像[超话]#给女朋友讲的睡前小故事

她下班回家，他坐在沙发上。面无表情地抽着烟，突然他开口了：“我说，我们像这样同居两年了，你不觉得厌倦吗?”她停下了正换着拖鞋的手，转过身愣愣的看着他：“你说，什么?”



他还是一样面无表情：“我说，我厌倦了。”她的眼泪流了出来，无助地背过身擦拭。一个温暖的身体突然抱住她：“不如，我们结婚好吗?”

#嘟嘟,噜噜和狗的日常#",大魔王情侣头像,https://weibo.cn/u/5638148983,1,0,0,https://weibo.cn/comment/IefC73993?uid=5638148983&rl=1#cmtfrm,2019-11-01,23:49:32,2019-11-01
":#泰剧与爱同居[超话]#
🛣️ 哈哈哈哈哈哈哈 上头",墨家小花,https://weibo.cn/cf1208,3,0,1,https://weibo.cn/comment/IefBC0CE5?uid=1742268254&rl=1#cmtfrm,2019-11-01,23:48:18,2019-11-01
:和大女士的同居生活开启🔛@大Guide微博_ 杭州,GiraffeLyn,https://weibo.cn/u/3211280214,6,0,0,https://weibo.cn/comment/IefB6oRMO?uid=3211280214&rl=1#cmtfrm,2019-11-01,23:47:03,2019-11-01
":#霍尊诗意飞花令#||#霍尊[超话]#[给你小心心]@霍尊
细数霍尊唱过的诗词之《长干行》
妾发初覆额，折花门前剧。
郎骑竹马来，绕床弄青梅。
同居长干里，两小无嫌猜，
十四为君妇，羞颜未尝开。
深圳卫视诗意中国的秒拍视频",少年不伶仃ing,https://weibo.cn/u/6812821851,2,1,0,https://weibo.cn/comment/IefAZ0Ctm?uid=6812821851&rl=1#cmtfrm,2019-11-01,23:46:45,2019-11-01
":#异地恋[超话]#愿所有异地的情人们，都早日同居。
这里是给照片画手绘，没有合照的仙女们，给我两张照片，还你一张合照情侣头像。#q版头像##情侣头像##异地恋#",muaberry木莓手绘,https://weibo.cn/u/6223755702,2,0,1,https://weibo.cn/comment/IefAH1TyL?uid=6223755702&rl=1#cmtfrm,2019-11-01,23:46:02,2019-11-01
:8月20她和石恒聪同居试婚的消息发出，让不少人感叹这个昔日的女神也到了成家的年纪。如今的阿Sa已经37岁了，但是她再出现在媒体的镜头前时，还是年轻时的样子。,城南一隅丶superchen,https://weibo.cn/u/7169488355,0,0,0,https://weibo.cn/comment/IefzTlUtK?uid=7169488355&rl=1#cmtfrm,2019-11-01,23:44:04,2019-11-01
":大家好我要装一把婚恋博主：
我发现有个技术性的问题，可能是唯一的，避免更大悲剧的办法：
密切交往，但不彻底同居，这个阶段越长越好，哪怕一个星期有一天你能回自己的家都行。
否则上了车，就被推着走了，没有重大事件发生，你就很难摆脱命运的悲剧了。
啥都明白，啥都完。",饽饽dumb,https://weibo.cn/qfbnqfbn,39,23,10,https://weibo.cn/comment/IefzMgTgu?uid=1852707675&rl=1#cmtfrm,2019-11-01,23:43:47,2019-11-01
":天花板隔音不太好，有时候能听到楼上的不知是夫妻还是情侣吵架，还蛮大声。完全受不了这种嚷嚷的吵架方式（其实我小时候也是。只是越来越阴郁很少有这种爆发了吧）。
但也有时候听见两个人一起笑。就算生活中有不开心的地方，但是一点点幸福感真的太宝贵了。
真的有点羡慕，虽然有人说同居是恋爱的坟墓。",迷雾Evil,https://weibo.cn/u/5206637864,0,0,0,https://weibo.cn/comment/Iefzfbigj?uid=5206637864&rl=1#cmtfrm,2019-11-01,23:42:28,2019-11-01
:#电视剧余生请多指教[超话]#刚才又看了几遍预告，发觉顾医生家桌子上放的那个绿色的包包真的好像是校校的！因为地铁里校校就背过这个包！所以真的有顾医生和校校同居的戏份吗？哈哈哈，那我可太开心了！,郡主_83450,https://weibo.cn/u/5714959706,98,1,32,https://weibo.cn/comment/Iefz8mkCi?uid=5714959706&rl=1#cmtfrm,2019-11-01,23:42:12,2019-11-01
:从恋爱到同居，从敲定日子到备婚，买房装修搬家，希望以后也能一直这么顺心如意下去。此刻我在吃着小王做的枸杞酒酿圆子，说不出的满足,张九一一三一四,https://weibo.cn/zqyjoey,3,0,3,https://weibo.cn/comment/Iefy1cmED?uid=1527128620&rl=1#cmtfrm,2019-11-01,23:39:27,2019-11-01
:八字中先杀后官者，易婚前被已婚男人侵占。 “杀”为偏官，“官”即正官，年月为先，日时为后，从年上起直到时辰，顺序为年干、年支、月干、月支、日支、时干、时支。凡是杀在前，而官在后者，无论喜忌，多半这个女命在婚前容易遭到已婚男人（有老婆的、离婚的、还有固定同居女朋友的，归类为已婚男人）的追求和侵占，而且这种追求只是为了满足其性要求，多数是并无与之结婚的想法。,马师傅八字算命,https://weibo.cn/u/1864100020,0,0,0,https://weibo.cn/comment/IefxVjj7q?uid=1864100020&rl=1#cmtfrm,2019-11-01,23:39:13,2019-11-01
:万万没想到，我舍友居然是王源弟弟的泥塑粉,多肉小肥妞,https://weibo.cn/u/5673941437,2,0,2,https://weibo.cn/comment/IefvmC7mL?uid=5673941437&rl=1#cmtfrm,2019-11-01,23:32:54,2019-11-01
":未婚同居
未婚懷孕
所以不給未成年看是因為這個嗎哈哈哈哈",Uta酱求神席,https://weibo.cn/annie870305,1,0,0,https://weibo.cn/comment/Iep5nhvi1?uid=5465648440&rl=1#cmtfrm,2019-11-02,23:56:21,2019-11-02
:#马克一下同居第一天吧# 从两家家长商量结婚日子到各种筹备再到领证再到今天终于接到新娘子，这一个多月以来经历了各种焦头烂额心烦气躁，但却又总是被小激动小雀跃小欢喜治愈，『30岁之前 用最简单的方式 嫁给自己最爱的人』这是四个愿望，心从来没有过这么安稳的感觉，这一个多月以来跟过关斩将一样，一个问题还没解决下一个问题已经来了，这才知道一对新人在领到那两张结婚证背后要经历多少大大小小的考验，但这只是开始啊，未来的婚姻路上还会有各种各样的磨练，让我自己都感到意外的是，我居然有足够的勇气足够的信心去面对这一切了，这大概是因为他给我足够甚至超额的安全感！彼此看对方都是闪着光芒的两个人，眼里才能有星辰……,陈小十陈,https://weibo.cn/10lv,13,0,5,https://weibo.cn/comment/Iep4wobvu?uid=1786672110&rl=1#cmtfrm,2019-11-02,23:54:14,2019-11-02
:又是要同居的一天,小仙女走着走着就丢了,https://weibo.cn/u/5090113368,0,0,1,https://weibo.cn/comment/Iep1gz3pn?uid=5090113368&rl=1#cmtfrm,2019-11-02,23:46:14,2019-11-02
":我的许多朋友谈恋爱都是年前年后的样子
今天他们一算日子，我心里统计了一下
两个女生朋友谈了有三年了
一个男生朋友谈了两年半快三年了
一个女生朋友谈了快一年了
一个男生朋友谈了快半年了

当中有两个正在异地，有一个今年年中结束了很久的异地
另外两个不异地，其中一个一直都是同居生活
另一个是唯一一对校园恋爱

然后我就有了一种恍然若失的感觉
这种感觉并不是来自“我好羡慕他们”或者“我也想拥有”
而来自我们之间的差异
我看到我们每个人都有不同的生命轨迹，这挺好的，各自精彩嘛，但是我也看到我们似乎，越来越变成平行线

说句矫情的话，上次和几个朋友们一起出去玩儿，以前都是我和我的三个朋友，四个人，但是上次我们聚在一起是七个人，我全程感到不知所措，觉得自己好像挺多余，我觉得和谁并排走在一起都不太对，于是那一天我仿佛一直在自娱自乐

我知道其他人的未完成清单里计划了什么，我也知道我的清单里有什么
有些事关乎命运抉择，关乎人生是否会走入新阶段
但我感觉我们现在不是谁走在前谁走在后的问题，而是我们根本走的就不是一个阶梯的问题

我想起看老友记最后一集的时候，我也像少了什么一样，觉得很难过
十年走完，钱德勒和莫妮卡要带着孩子搬到郊区去住，罗斯和瑞秋重新在一起，菲比和迈克结婚了，只剩下乔伊一个人留在原来的公寓

我在想会不会有一天，我想约谁出来玩儿，电话刚刚翻出来，结果犹豫半天，还是没打出去

会不会有一天好不容易聚上了，但是我就像那天一样，觉得自己多余

我妈警告过无数次但每次我都不屑一顾的话，是不是真的会应验",Zeng心鱼,https://weibo.cn/u/6072519114,0,1,2,https://weibo.cn/comment/Iep15Crst?uid=6072519114&rl=1#cmtfrm,2019-11-02,23:45:48,2019-11-02
:昨天追了一个有点意思的剧 果不其然又被眼镜男迷住了 完全是理想中的颜 结果一搜演员踏🐎的居然是和山寨gakki演同居综艺的男生 我光速被劝退 瞬间分离剧中角色和现实演员,一条兔吉,https://weibo.cn/u/2254631212,0,0,0,https://weibo.cn/comment/Iep0lefWL?uid=2254631212&rl=1#cmtfrm,2019-11-02,23:43:57,2019-11-02
":[抱抱_旧]一些传统的方式，比如仅仅午睡打个盹也许并不能够让你的大脑充分释放压力。于是人们就想出了其他各种方法来解决这个问题，瑜伽无疑是当中很受欢迎的一种方式，很多人都会利用空余的时间做做瑜伽修身养性，但你有看见过宠物狗狗们做瑜伽吗？
如果爱一个人，千万不要与他同居或是结婚。维持一个辽阔的距离，偶遇，可以爱慕的目光致敬，轻俏温柔，不着边际地问：“好吗？”一年一次已经足够",一头长发谁能理,https://weibo.cn/u/3903391665,1,0,1,https://weibo.cn/comment/IeoYzAQcM?uid=3903391665&rl=1#cmtfrm,2019-11-02,23:39:35,2019-11-02
