Posts,User Names,User Links,Likes,Reblogs,Comments,Comment Links,Post Date,Post Time,Date in Datetime Format
:当今社会：养二奶的越来越多，养奶奶的越来越少；出书的人越来越多，读书的人越来越少；耍手腕的人越来越多，耍手艺的人越来越少；未婚同居的越来越多，婚后同居的越来越少；肚子大的人越来越多，肚量大的人越来越少；知道周迅的越来越多，知道鲁迅的越来越少；微博发语录的越来越多，转播却越来越少。,帆帆-木子李,https://weibo.cn/u/3030628351,0,0,0,https://weibo.cn/comment/DbaD3F5ie?uid=3030628351&rl=1#cmtfrm,2016-01-01,23:55:44,2016-01-01
:同居越久越不想娶你的星座男。冠军（金牛座）、亚军（天蝎座）、季军（双鱼座）、第四名（白羊座）、第五名（射手座）、第六名（双子座）、第七名（天秤座）、第八名（巨蟹座）、第九名（水瓶座）、第十名（狮子座）、第十一名（处女座）、第十二名（摩羯座）。,风雪中顽强,https://weibo.cn/u/2984467145,0,0,0,https://weibo.cn/comment/DbaChbIQQ?uid=2984467145&rl=1#cmtfrm,2016-01-01,23:53:48,2016-01-01
:总是换着搭档似的 两个人在寝室过着同居的日子,请称呼我为闪电巨无霸,https://weibo.cn/u/1783280805,4,0,0,https://weibo.cn/comment/DbaBu7Bfg?uid=1783280805&rl=1#cmtfrm,2016-01-01,23:51:50,2016-01-01
:大学一男同学，与女友在外面同居，不久，他女朋友怀孕了。男同学慌了，求救于家里。家里人气到不行干脆不理他。父亲节那天，男同学想到这是这好机会，于是立马编写短信给他爹：“父亲节快乐”。不到5分钟，他爹回了两字：“同乐。[km侠盗],谢朝杰,https://weibo.cn/u/2029548425,0,0,0,https://weibo.cn/comment/DbaAMEwaa?uid=2029548425&rl=1#cmtfrm,2016-01-01,23:50:08,2016-01-01
:被小姨抢走了慧慧争光徐利大家都搁群里吐槽我说这样以后会没朋友,秦秦秦秦秦疯子,https://weibo.cn/u/3879796289,0,0,0,https://weibo.cn/comment/DbaAEr0ye?uid=3879796289&rl=1#cmtfrm,2016-01-01,23:49:48,2016-01-01
:【备孕二胎需防继发性不孕不育】随着“单独二孩”新政的实施，很多“单独”夫妇生育二胎的愿望变成现实。然而，有一些正积极准备生二胎的夫妇遇到了不孕不育的尴尬。育龄夫妇同居一年，有正常性生活，以前怀过孕。,yulie6869161,https://weibo.cn/u/5703296018,0,0,0,https://weibo.cn/comment/DbazG809S?uid=5703296018&rl=1#cmtfrm,2016-01-01,23:47:24,2016-01-01
:夏天来了，小鸟恋爱了，蚂蚁同居了，苍蝇怀孕了，蚊子流产了，蝴蝶离婚了，毛毛虫改嫁了，青蛙生孩子了，你还等什么？,爱好449,https://weibo.cn/u/5810385107,0,0,0,https://weibo.cn/comment/Dbazcioyc?uid=5810385107&rl=1#cmtfrm,2016-01-01,23:46:13,2016-01-01
:游戏里莫名开始时恋爱，莫名开始时现实相见，莫名开始的同居，莫名开始的婚姻，一直在随便，一直在凑合，我不知道怎么办，不知道为什么会结婚，即使我一点不爱他，可是我就这样稀里糊涂的结婚了。,迷茫不安的倩倩,https://weibo.cn/u/3538534171,0,0,0,https://weibo.cn/comment/DbawZbw3D?uid=3538534171&rl=1#cmtfrm,2016-01-01,23:40:45,2016-01-01
:比起棒子 暻秀下次可以往床边藏一个海报筒 目标小 易挥舞 很趁手 舞动起来也是虎虎生风的 十分符合山大王的形象 见一个揍一个 见两个揍一双 哦这个一双 大概可以先代入同居室友灿鱼和钟熊 毕竟近水楼台 先得阅,度湯啾,https://weibo.cn/u/5713675226,8,0,1,https://weibo.cn/comment/DbawdCu53?uid=5713675226&rl=1#cmtfrm,2016-01-01,23:38:53,2016-01-01
:【同居越久越不想娶你的星座,b甫其,https://weibo.cn/u/2353608632,0,0,0,https://weibo.cn/comment/Dbaw4r6Wg?uid=2353608632&rl=1#cmtfrm,2016-01-01,23:38:30,2016-01-01
