Posts,User Names,User Links,Likes,Reblogs,Comments,Comment Links,Post Date,Post Time,Date in Datetime Format
:今天是铁子大婚的好日子，细细算来，大家已经认识22年了，真的很珍惜这份友情。真心祝福他们白头偕老，永远幸福！期待明年六月份与他们的小宝宝见面！,卿仪_朵朵,https://weibo.cn/cindynini926,0,0,2,https://weibo.cn/comment/z7NgRdKjB?uid=1760375911&rl=1#cmtfrm,2012-12-01,23:59:41,2012-12-01
:阿杰很有心，丽娜很幸福！被你们感动哦！happy 一辈子凸^-^凸,小执念----,https://weibo.cn/u/2482979010,0,1,5,https://weibo.cn/comment/z7NgQm8NW?uid=2482979010&rl=1#cmtfrm,2012-12-01,23:59:43,2012-12-01
:我年轻时曾与我们州最漂亮的女孩约会，但最后没有成功。我听说她后来离过三次婚，如果我们当时真在一起，我都无法想象未来会怎么样。所以，其实你人生中最重要的决定是跟什么人结婚！在选择伴侣上，如果你错了，将让你损失很多，而且，损失不仅仅是金钱上的。—— 《结婚才是人生最大投资》,慕僮炊,https://weibo.cn/513454356,0,0,0,https://weibo.cn/comment/z7NgLDmhO?uid=2102559551&rl=1#cmtfrm,2012-12-01,23:59:32,2012-12-01
: @Vevina-L,如果走在钢索上,https://weibo.cn/sugarme,0,0,1,https://weibo.cn/comment/z7NgIlLhZ?uid=1734320745&rl=1#cmtfrm,2012-12-01,23:59:23,2012-12-01
:首先恭喜@嘎拉和布噶 大婚！然后呢感谢@素质哥文亿 @大饼是个文艺2B小骚年 @巴拉巴拉非洲鼓_儒 的精彩表演。还有完美配合联欢晚会的 @missunflower @一个很极端滴人儿 @___喵了个咪的 。今天就到这里，晚安。,STANCE_IFG_THOMS,https://weibo.cn/qdtoms,0,0,6,https://weibo.cn/comment/z7NgG0EST?uid=2427132457&rl=1#cmtfrm,2012-12-01,23:59:15,2012-12-01
:永远不要当第三者。因为这个男人如果能背叛妻子和你在一起时，他一定也会因为别的女人而背叛你，而到时你的处境会比他的妻子更惨。不要听信任何己婚男人述说的爱情悲剧。想想：他们的孩子都生出来了，还谈没有爱情？可笑！婚姻家庭在没有孩子时是爱情，有了孩子就是责任。不负责任的人不配谈爱情！,枼魅,https://weibo.cn/u/3090082743,0,0,0,https://weibo.cn/comment/z7NgEdADd?uid=3090082743&rl=1#cmtfrm,2012-12-01,23:59:13,2012-12-01
:老豆妈子三十年珍珠婚快乐！终于完成你们的心愿，这就是给你们最好的礼物！,小囡亾汏炷嬑,https://weibo.cn/u/2001106243,0,0,0,https://weibo.cn/comment/z7Ngzcb13?uid=2001106243&rl=1#cmtfrm,2012-12-01,23:59:00,2012-12-01
:重病在身，家属现在还在仓库加班，亲，能不能抽一点时间给生病的我。看着医院里別人旁边陪着个人都好羡慕！打完点吊回家还要自己煮粥、洗衣服，这是结了婚的人生病吗?@Jackie_He1979 连个关心的电话都不打。好凄凉！,吃胡萝卜的加菲,https://weibo.cn/u/2014157160,0,0,6,https://weibo.cn/comment/z7NglDVTB?uid=2014157160&rl=1#cmtfrm,2012-12-01,23:58:30,2012-12-01
: @赵荔荔同学 听日大婚，今晚系距屋企帮我同@赵荔荔同学 堂妹庆生，,星星落脚的地方,https://weibo.cn/u/2075080875,0,0,0,https://weibo.cn/comment/z7NgiD2Ve?uid=2075080875&rl=1#cmtfrm,2012-12-01,23:58:23,2012-12-01
:看大男當婚，突然覺得，現在太多的父母就是不能接受自己的小孩原本的現實。其實冷冷靜靜的開開心心的生活不就好了么？,Charming_HK,https://weibo.cn/u/3169344695,0,3,0,https://weibo.cn/comment/z7Ngim1To?uid=3169344695&rl=1#cmtfrm,2012-12-01,23:58:22,2012-12-01
:十年爱情长跑，风风雨雨，一曲知心爱人感动多少人！2012.12.05你们大婚，无论生老病死，无论贫富贵贱，你们从今往后都会在一起。祝福你们----杨婷&坨坨。,被时光隐藏的陌陌,https://weibo.cn/u/2425191004,1,28,5,https://weibo.cn/comment/z7NgefIgN?uid=2425191004&rl=1#cmtfrm,2012-12-01,23:58:12,2012-12-01
:突然想起爸爸说的话：不是嫁女儿，而是女儿结婚，结了婚她也还是女儿，家也还是她的家……我很感动,樊可馨小宝贝,https://weibo.cn/u/1867398834,0,0,0,https://weibo.cn/comment/z7NgbfWGr?uid=1867398834&rl=1#cmtfrm,2012-12-01,23:58:04,2012-12-01
:继＜裸婚时代＞到＜离婚前规则＞，我的观后感就是，这婆婆和丈母娘一人出来插一脚，各种烦恼就来啦...,抹茶味的小泡芙,https://weibo.cn/u/2635676064,0,0,9,https://weibo.cn/comment/z7NfL0ete?uid=2635676064&rl=1#cmtfrm,2012-12-01,23:56:59,2012-12-01
:好姐妹大婚💃💃🎉🎉希望你幸福快乐💓💗我们的往事会是人生中最美好的一页，包括以后的以后我们一起走下去🙌一直爱你，对不@Natalie__Tse,Sandyxie_,https://weibo.cn/u/1971303142,0,1,8,https://weibo.cn/comment/z7WHh5ifj?uid=1971303142&rl=1#cmtfrm,2012-12-02,23:59:33,2012-12-02
:今天是肥清的大婚恭喜恭喜啊,King李伟,https://weibo.cn/king198934,0,2,12,https://weibo.cn/comment/z7WH5xwHs?uid=2006494201&rl=1#cmtfrm,2012-12-02,23:59:05,2012-12-02
:唐顿庄园，三季都看完了，看的有点快。第三季一开始两人就毫无交代的结了婚，而可爱的三小姐竟然去世了。一个庄园的三代人，见证着时代的变迁，不知道最后走向何方。期待第四季，希望一如既往的精美。每个角色都能动人，每个场景都严谨，绝好的英剧，绝好的唐顿庄园,古为期,https://weibo.cn/vipno,0,0,4,https://weibo.cn/comment/z7WH4mGes?uid=1650160282&rl=1#cmtfrm,2012-12-02,23:59:02,2012-12-02
:飞哥大婚，再一次意外地接到新人送的花🌹谢谢,DearElsa,https://weibo.cn/elsa102377,0,2,9,https://weibo.cn/comment/z7WH3b207?uid=1791918697&rl=1#cmtfrm,2012-12-02,23:59:01,2012-12-02
