Posts,User Names,User Links,Likes,Reblogs,Comments,Comment Links,Post Date,Post Time,Date in Datetime Format
:我也是觉得，结什么婚，呵呵。,M晋升六六麻麻,https://weibo.cn/206000363,0,0,7,https://weibo.cn/comment/H9ZdD4YJA?uid=1955121374&rl=1#cmtfrm,2019-01-01,23:59:45,2019-01-01
:婚以后流的泪，都是婚前脑子里进的水！,小鑫Sandy,https://weibo.cn/u/2375015671,0,0,0,https://weibo.cn/comment/H9ZdyjnPc?uid=2375015671&rl=1#cmtfrm,2019-01-01,23:59:34,2019-01-01
:201901011159总结去年:结了婚，付了首付，怀了孕，大着肚子，跟着老公在湖头跨了年，什么感觉呢，好像也没有，就平平淡淡的过日子吧，就是肚子顶着难受，不知道他什么时候出来，有点怕怕的,兜兜正正,https://weibo.cn/u/2101302750,0,0,2,https://weibo.cn/comment/H9ZdwgKIp?uid=2101302750&rl=1#cmtfrm,2019-01-01,23:59:29,2019-01-01
:过了24岁，迈进25了，这是第一次因为年龄焦虑到睡不着，搞不懂为啥父母这么着急，突然就催婚了，大学的时候不让谈恋爱，刚毕业半年就让我考虑结婚,爱尔梁11,https://weibo.cn/u/6346248539,1,0,0,https://weibo.cn/comment/H9ZdvDu1z?uid=6346248539&rl=1#cmtfrm,2019-01-01,23:59:28,2019-01-01
:我嫁了一个人，却结了三次婚。。。,我们囍吧,https://weibo.cn/u/3690785314,0,0,0,https://weibo.cn/comment/H9Zdrw9Si?uid=3690785314&rl=1#cmtfrm,2019-01-01,23:59:18,2019-01-01
:来点负能。我这婚 接的还真有点不合适。塔爸爸对小胖好，也对我好。只是好仅仅停留在生活方面，心灵深处，不能感同身受 毫无共鸣 望尘莫及。我觉得很纠结的许多事情，塔爸爸不觉得有任何问题。我的诉说欲永远在深夜发作，可一到910点钟 塔爸爸哄完娃就睡去。永没有惊喜，平淡无奇。甚至有时候，我觉得你去超市多买一样菜多带一种零食回来也是一种惊喜，可惜大多数时候并没有，总是跟预先说好的一样 太直男了。断裂感 无力感 你觉得没办法将就 塔爸爸就这样 不理会 不知会 或者承诺了 却没有太多的行动。我觉得我们以后应该会和平分手，只要我分，塔爸爸一定分。干净利索 毫无疑问，没有争吵也不会很激烈，各自安好。唯一的分歧是小胖子的归属权。不过没关系，归谁我们都是他亲爸妈，对小胖子的爱 影响不大。新年伊始，说些有关婚姻的负面话题。别憋着了，2019了。人生苦短。无力感爆棚。释放出来吧。2019 你好。短暂一生。珍重当下。当下，呼声四起，我吃着脆香米。这样的日子 什么时候是个头。压死骆驼的最后一根稻草什么时候出现，没人能知道。嗯 其实我俩没啥事儿，就是看见刘东东茶妹子那个事儿 发点感言。我觉得茶妹子表达的很理智 完全能理解。结过婚的妹子多少都对婚姻有无数槽可吐吧。完美的婚姻，是不存在的。最自然的婚姻方式应当5年一续签，若不续签，自动放弃，视为离婚。毕竟人生这么短暂，转瞬即逝，爱恨情仇，别憋着。,小胖子麻麻哈哈哈,https://weibo.cn/u/6590304727,1,0,0,https://weibo.cn/comment/H9Zdgzp2X?uid=6590304727&rl=1#cmtfrm,2019-01-01,23:58:52,2019-01-01
:【男人恐婚的真实心理】1、怕失去自由，不愿让婚姻来束缚和改变自己。2、害[睡觉]怕婚姻所带来的责任与压力，从而产生逃避的想法。3、离婚的人越来越多，一些男性担心婚后出现问题，总是觉得时机不够成熟。4、可能是男人受到过伤害，如父母关系不和，曾被抛弃过。,醉卧美人xi杏,https://weibo.cn/u/6725629452,0,0,0,https://weibo.cn/comment/H9Zda39rN?uid=6725629452&rl=1#cmtfrm,2019-01-01,23:58:37,2019-01-01
":1.1布婚
最爱的两个人
这一年，很幸福",茜茜茜茜茜欢你,https://weibo.cn/u/5322679047,2,0,0,https://weibo.cn/comment/H9Zd4vlzq?uid=5322679047&rl=1#cmtfrm,2019-01-01,23:58:22,2019-01-01
:超喜欢这对cp,rjs南城北栀,https://weibo.cn/u/5172852900,0,1,0,https://weibo.cn/comment/H9Zd2FMPj?uid=5172852900&rl=1#cmtfrm,2019-01-01,23:58:19,2019-01-01
:我嫁了一个人，却结了三次婚。。。,任瑞霞善,https://weibo.cn/u/3978205783,0,0,0,https://weibo.cn/comment/H9Zd0jVwW?uid=3978205783&rl=1#cmtfrm,2019-01-01,23:58:13,2019-01-01
:我嫁了一个人，却结了三次婚。。。,冯嘉欣Feng,https://weibo.cn/u/5031182758,0,0,0,https://weibo.cn/comment/H9ZcA4eDf?uid=5031182758&rl=1#cmtfrm,2019-01-01,23:57:10,2019-01-01
:“老婆，你要吃冰淇淋嘛～”“去你的，我才是老公”街上两个俊秀的男孩手挽着手，不停的嬉闹声引得路人一路侧目、“那个，我要结婚了。,你起best咏201809,https://weibo.cn/u/6659152361,0,0,0,https://weibo.cn/comment/H9ZcrqkGf?uid=6659152361&rl=1#cmtfrm,2019-01-01,23:56:50,2019-01-01
:我嫁了一个人，却结了三次婚。。。,砗磲鉴定师小林,https://weibo.cn/u/3696262924,0,0,0,https://weibo.cn/comment/H9ZccFjQI?uid=3696262924&rl=1#cmtfrm,2019-01-01,23:56:15,2019-01-01
:回国当晚，叶幽幽意外被暗恋十六年的男神吃干抹净，她表示：幸福来得太突然，要抓紧！！！于是坊间流出传闻，顾家那位矜贵无双，冷酷无情外加不近女色的大少爷闪婚了！！据说还是被对方死缠烂打拐着去的民政局？！叶幽幽不屑地哼了一声，“明明是人家救了他，他以身相许的好不好……”说完，开始制定婚后小目标，那就是：撩他撩他使劲地撩他。然而，计划还没实施就被某男直接扑倒，美其名曰：“报恩！”当晚，叶幽幽就知道这个男人同样制定了一个小目标，那就是：扑倒她，狠狠地扑倒她，随时随地扑倒她……@塔读文学 http://t.cn/EbrfYyq,用户6483773095,https://weibo.cn/u/6483773095,0,0,0,https://weibo.cn/comment/H9Zc2DhNU?uid=6483773095&rl=1#cmtfrm,2019-01-01,23:55:51,2019-01-01
":结个婚TMD2018最后一天委屈的要死，守着我妈哭一场！！
8月份了还在外面撩骚！！
到底是多没钱！
真的感受不到一点用心！
自己太失败了，真的是很容易对别人很好，换来的都是委屈自己！
怎么办",Tania是个新名字,https://weibo.cn/u/3320063317,0,0,0,https://weibo.cn/comment/Ha8E9Dqs2?uid=3320063317&rl=1#cmtfrm,2019-01-02,23:59:50,2019-01-02
":可能天下最神奇的事就是在你毫无准备的时候谈了恋爱，亦或是在你想都没想过的年龄就结了婚❤️
嗯，这个男人的文案把我们所有人都惊呆了。
挚友都在其中甚是欢乐。感恩一切爱的人都在身边，2019又多了一个角色全新出发",xxxcn,https://weibo.cn/u/1819275187,1,0,0,https://weibo.cn/comment/Ha8E8cpHG?uid=1819275187&rl=1#cmtfrm,2019-01-02,23:59:46,2019-01-02
:#摩登兄弟[超话]#2018年对我来说是很美好的一年，认识了摩登兄弟，有了属于自己的房子，订了婚，看着宁哥越来越好特别的开心，2019希望我们都会越来越好，也希望宁哥能一直开心，未来的路有我们大家一起陪你一起走，往后余生 唯爱摩登,花開終贁落60739,https://weibo.cn/u/5745290368,0,0,0,https://weibo.cn/comment/Ha8E4lDgk?uid=5745290368&rl=1#cmtfrm,2019-01-02,23:59:37,2019-01-02
:今年首婚,西琳_UMP45厨,https://weibo.cn/u/5441213015,0,0,0,https://weibo.cn/comment/Ha8E428HM?uid=5441213015&rl=1#cmtfrm,2019-01-02,23:59:36,2019-01-02
":#推文[超话]#
💕 阿喵推文 💕 推荐 虐文💕
《犹记惊鸿照影》
🍥标签🍥
古言、爱恨情仇、长篇虐文
内容简介：
伤心桥下春波绿，曾是惊鸿照影来。
妹妹出人意料的逃婚，让她无从选择的嫁入天家。
从大婚之夜的独守空闺，到知晓夫婿刻骨铭心的曾经，她一直淡然处之。
嫁与皇子，本就注定了与爱无关。她所在意的，不过是护得家人安宁。
她伴着他，一步一步，问鼎天下。
她看着他，越是微笑就越是冷漠的眼睛。
从未想到会有一天，自己所信仰的一切，被他亲手，毁灭得支离破碎。",爱吃芝士蛋糕的阿喵,https://weibo.cn/u/6695362021,0,0,0,https://weibo.cn/comment/Ha8DX0aUK?uid=6695362021&rl=1#cmtfrm,2019-01-02,23:59:19,2019-01-02
":背景：婚期2019第一天

1️⃣时间：2018.12.31日晚

事件：口腔溃疡➕干咳➕被门夹到手淤青

2️⃣时间：2019.01.02 中午

事件：开车回家，转弯未看到标志性建筑摩天轮时竟说，摩天轮是拆了吗？？才一天好吧！！！离家一天就不认识路了！

3️⃣时间：2019.01.02 晚上

事件：“荫”看成“萌”被我纠正后还不死心兀自喃喃“怎么就是荫不是萌”",无垠凡星,https://weibo.cn/wufan9216,0,0,0,https://weibo.cn/comment/Ha8DMAi01?uid=1324673452&rl=1#cmtfrm,2019-01-02,23:58:55,2019-01-02
:去美容院、男人们：牺牲工作：裸婚需要勇气吖，女人们！ 杭州·水碓里主题餐厅,小庙唇惊讶,https://weibo.cn/u/6428002493,0,0,0,https://weibo.cn/comment/Ha8DKydou?uid=6428002493&rl=1#cmtfrm,2019-01-02,23:58:50,2019-01-02
